"trackid","artistname","tracknumber","duration","artistid","tracktitle","releasetitle","releaseid"
147100,"Barry White",4,250,1429,"I'll Do For You Anything You Want Me To","Barry White - The Collection",14238
147171,"The Cure",8,423,258,"Hot Hot Hot!!!","Mixed Up",14245
147220,"Johnny Cash",4,235,1448,"Bridge Over Troubled Water","American IV: The Man Comes Around",14249
147736,"No Doubt",13,262,154,"Don't Speak","The Singles Collection",14285
147847,"No Doubt",10,263,154,"Don't Speak","Tragic Kingdom",14294
147878,"Eminem",4,227,262,"Brain Damage","The Slim Shady LP",14297
147889,"Eminem",15,243,262,"Just Don't Give A Fuck","The Slim Shady LP",14297
148013,"Eminem",3,404,262,"Stan","The Marshall Mathers LP",14305
148099,"Aerosmith",5,266,10173,"Dude (Looks Like A Lady)","Permanent Vacation",14310
148165,"Limp Bizkit",3,214,8280,"Break Stuff","New Old Songs",14314
148197,"Eminem",4,298,262,"Cleanin' Out My Closet","The Eminem Show",14316
148203,"Eminem",10,290,262,"Without Me","The Eminem Show",14316
148205,"Eminem",12,340,262,"Sing For The Moment","The Eminem Show",14316
148206,"Eminem",13,350,262,"Superman","The Eminem Show",14316
148209,"Eminem",16,269,262,"When The Music Stops","The Eminem Show",14316
148211,"Eminem",18,298,262,"'Till I Collapse","The Eminem Show",14316
148254,"Nirvana",5,301,169,"Smells Like Teen Spirit","Nirvana",14319
148325,"Aerosmith",7,309,10173,"Cryin'","Big Ones",14327
148326,"Aerosmith",8,358,10173,"Amazing","Big Ones",14327
148330,"Aerosmith",12,316,10173,"Crazy","Big Ones",14327
148332,"Aerosmith",14,307,10173,"Angel","Big Ones",14327
148337,"Nirvana",3,277,169,"Jesus Doesn't Want Me For A Sunbeam","MTV Unplugged In New York",14328
148340,"Nirvana",6,173,169,"Dumb","MTV Unplugged In New York",14328
148676,"The Who",1,309,75,"Baba O'Riley","Who's Next",14351
148926,"The Who",9,379,75,"Who Are You","Who Are You",14370
149336,"Bob Marley &amp; The Wailers",1,350,159,"Positive Vibration","Babylon By Bus",14401
149812,"Daniel Powter",3,236,8920,"Bad Day","Daniel Powter",14440
150037,"Live",7,240,825,"All Over You","Throwing Copper",14468
150172,"K-Ci &amp; JoJo",11,331,10231,"All My Life","Love Always",14476
150297,"Etta James",4,199,1821,"A Sunday Kind Of Love","At Last!",14484
151084,"Marianne Faithfull",7,272,79,"So Sad","Dangerous Acquaintances",14543
151427,"Michael Jackson",10,258,88,"One Day In Your Life","Love Songs",14569
151981,"Lionel Richie / Diana Ross",1,268,72113,"Endless Love","All The Great Hits",14605
152690,"Lionel Richie",4,259,237,"All Night Long (All Night)","Back To Front",14660
152691,"Commodores",5,257,1333,"Easy","Back To Front",14660
