,trackid,artistname,tracknumber,duration,artistid,tracktitle,releasetitle,releaseid,spotify,spotify_ret
20,2289,Nick Drake,8,214,165,Parasite,Pink Moon,220,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0L5fC7Ogm2YwgqVCRcF1bT'}, 'href': 'https://api.spotify.com/v1/artists/0L5fC7Ogm2YwgqVCRcF1bT', 'id': '0L5fC7Ogm2YwgqVCRcF1bT', 'name': 'Volbeat', 'type': 'artist', 'uri': 'spotify:artist:0L5fC7Ogm2YwgqVCRcF1bT'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/1neN7vM1BHHoXEJWwr9m05'}, 'name': 'Parasite', 'uri': 'spotify:track:1neN7vM1BHHoXEJWwr9m05', 'genre': ['alternative metal', 'danish metal', 'nu metal', 'post-grunge']}",True
21,2968,Coldplay,2,229,20,In My Place,A Rush Of Blood To The Head,296,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/5mgr0FFpvy267wKVAYg8qp'}, 'href': 'https://api.spotify.com/v1/artists/5mgr0FFpvy267wKVAYg8qp', 'id': '5mgr0FFpvy267wKVAYg8qp', 'name': 'Lit', 'type': 'artist', 'uri': 'spotify:artist:5mgr0FFpvy267wKVAYg8qp'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/33iv3wnGMrrDugd7GBso1z'}, 'name': 'My Own Worst Enemy', 'uri': 'spotify:track:33iv3wnGMrrDugd7GBso1z', 'genre': ['pop punk', 'pop rock', 'post-grunge']}",True
22,2970,Coldplay,4,311,20,The Scientist,A Rush Of Blood To The Head,296,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU'}, 'href': 'https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU', 'id': '4gzpq5DPGxSnKTe4SA8HAU', 'name': 'Coldplay', 'type': 'artist', 'uri': 'spotify:artist:4gzpq5DPGxSnKTe4SA8HAU'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle'}, 'name': 'The Scientist', 'uri': 'spotify:track:75JFxkI2RXiU7L9VXzMkle', 'genre': ['permanent wave', 'pop']}",True
23,2971,Coldplay,5,308,20,Clocks,A Rush Of Blood To The Head,296,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP'}, 'href': 'https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP', 'id': '7tYKF4w9nC0nq9CsPZTHyP', 'name': 'SZA', 'type': 'artist', 'uri': 'spotify:artist:7tYKF4w9nC0nq9CsPZTHyP'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/2fXwCWkh6YG5zU1IyvQrbs'}, 'name': 'Broken Clocks', 'uri': 'spotify:track:2fXwCWkh6YG5zU1IyvQrbs', 'genre': ['hip hop', 'pop', 'pop rap', 'r&b', 'rap']}",True
24,3009,Coldplay,1,311,20,The Scientist,The Scientist,310,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU'}, 'href': 'https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU', 'id': '4gzpq5DPGxSnKTe4SA8HAU', 'name': 'Coldplay', 'type': 'artist', 'uri': 'spotify:artist:4gzpq5DPGxSnKTe4SA8HAU'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle'}, 'name': 'The Scientist', 'uri': 'spotify:track:75JFxkI2RXiU7L9VXzMkle', 'genre': ['permanent wave', 'pop']}",True
25,3677,Pulp,5,350,78,Common People,Hits,385,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/36E7oYfz3LLRto6l2WmDcD'}, 'href': 'https://api.spotify.com/v1/artists/36E7oYfz3LLRto6l2WmDcD', 'id': '36E7oYfz3LLRto6l2WmDcD', 'name': 'Pulp', 'type': 'artist', 'uri': 'spotify:artist:36E7oYfz3LLRto6l2WmDcD'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/2fXKyAyPrEa24c6PJyqznF'}, 'name': 'Common People', 'uri': 'spotify:track:2fXKyAyPrEa24c6PJyqznF', 'genre': ['alternative rock', 'art rock', 'britpop', 'dance rock', 'garage rock', 'indie rock', 'modern rock', 'new wave', 'permanent wave', 'rock', 'sheffield indie']}",True
26,3846,Counting Crows,1,188,257,Accidentally In Love,Accidentally In Love (From Shrek 2 S/T),431,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0vEsuISMWAKNctLlUAhSZC'}, 'href': 'https://api.spotify.com/v1/artists/0vEsuISMWAKNctLlUAhSZC', 'id': '0vEsuISMWAKNctLlUAhSZC', 'name': 'Counting Crows', 'type': 'artist', 'uri': 'spotify:artist:0vEsuISMWAKNctLlUAhSZC'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/3OltYYcLZUhvho5QoRbUNr'}, 'name': 'Accidentally In Love', 'uri': 'spotify:track:3OltYYcLZUhvho5QoRbUNr', 'genre': ['alternative rock', 'neo mellow', 'pop rock', 'post-grunge', 'rock']}",True
27,3907,Black Eyed Peas,1,218,263,Let's Get It Started,Let's Get It Started,437,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS'}, 'href': 'https://api.spotify.com/v1/artists/1yxSLGMDHlW21z4YXirZDS', 'id': '1yxSLGMDHlW21z4YXirZDS', 'name': 'The Black Eyed Peas', 'type': 'artist', 'uri': 'spotify:artist:1yxSLGMDHlW21z4YXirZDS'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/3qK8x4GZcIkzTz9JEqvIF5'}, 'name': ""Let's Get It Started - Spike Mix"", 'uri': 'spotify:track:3qK8x4GZcIkzTz9JEqvIF5', 'genre': ['dance pop', 'pop', 'pop rap']}",True
28,4170,Kool &amp; The Gang,2,295,288,Get Down On It,Celebration: The Best Of Kool &amp; The Gang (1979-1987),487,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3VNITwohbvU5Wuy5PC6dsI'}, 'href': 'https://api.spotify.com/v1/artists/3VNITwohbvU5Wuy5PC6dsI', 'id': '3VNITwohbvU5Wuy5PC6dsI', 'name': 'Kool & The Gang', 'type': 'artist', 'uri': 'spotify:artist:3VNITwohbvU5Wuy5PC6dsI'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/4yKZACkuudvfd600H2dQie'}, 'name': 'Get Down On It', 'uri': 'spotify:track:4yKZACkuudvfd600H2dQie', 'genre': ['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']}",True
29,4507,U2,1,188,106,Helter Skelter,Rattle And Hum,551,"{'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2'}, 'href': 'https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2', 'id': '3WrFJ7ztbogyGnTHbHJFl2', 'name': 'The Beatles', 'type': 'artist', 'uri': 'spotify:artist:3WrFJ7ztbogyGnTHbHJFl2'}], 'external_urls': {'spotify': 'https://open.spotify.com/track/0Bs0hUYxz7REyIHH7tRhL2'}, 'name': 'Helter Skelter - Remastered 2009', 'uri': 'spotify:track:0Bs0hUYxz7REyIHH7tRhL2', 'genre': ['british invasion', 'merseybeat', 'psychedelic rock', 'rock']}",True
